Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW
bel.wnd,BEL,wnd,2018,642,7465,3191,852.1689497716895,851.7697146416423,0.2703648174303013,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
bel.sol,BEL,sol,2018,335,3902,4254.5,445.4337899543379,444.45927477406576,0.10656791009894975,1,0,0.07744859670739546,0,0,0.07744859670739546,965
bel.hyd,BEL,hyd,2018,27,314,1423,35.84474885844749,35.82209080268589,0.10443635543918085,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
bel.ore,BEL,ore,2018,1015,3343,1.549566210045662,381.62100456621005,1346.645265360229,1,NA,0,NA,NA,NA,NA,NA
bel.ore,BEL,ore,2018,1015,3343,1.549566210045662,381.62100456621005,1346.645265360229,1,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
bel.bio,BEL,bio,2018,723,3484,1064,397.716894977169,959.2359870496999,0.7299498746867168,0.8096721527884316,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
ben.coa,BEN,coa,2018,-0,0,0,0,-0,0.6726666666666666,0.35936507936507933,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
ben.nga,BEN,nga,2018,16,63,100,7.191780821917808,21.227905660850897,0.1597283105022831,0.7524449799909303,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
ben.oil,BEN,oil,2018,41,134,254,15.296803652968036,54.39650825593043,0.09076205371588825,0.42380590929422873,0,NA,NA,NA,NA,NA
ben.nuc,BEN,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
ben.wnd,BEN,wnd,2018,-0,0,0,0,-0,0.3437037037037037,1,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
ben.sol,BEN,sol,2018,-0,5,3,0.5707762557077626,-0,0.20319634703196346,1,0,0.07744859670739546,0,0,0.07744859670739546,965
ben.hyd,BEN,hyd,2018,-0,0,1,0,-0,0.16851598173515983,1,0,0.09444005941478263,7e-4,7e-4,0.09374005941478264,4925
ben.ore,BEN,ore,2018,-0,0,0,0,-0,NA,NA,0,NA,NA,NA,NA,NA
ben.ore,BEN,ore,2018,-0,0,0,0,-0,0.3870123456790123,1,0,0.16052295344406187,0.0024790123456790124,0.0024790123456790124,0.15804394109838288,5036.543209876543
ben.bio,BEN,bio,2018,-0,0,3,0,-0,0.761,0.35,0,0.17909624203225066,0.11831214678857142,0.00849,0.06078409524367925,2937
bgd.coa,BGD,coa,2018,393,1500,524,171.23287671232876,521.4104327946502,0.16280893809474015,0.16361752315616335,0.9,0.08911454656189009,0.04815889869801486,0.00398,0.04095564786387523,1758
bgd.nga,BGD,nga,2018,13282,59437,10877,6785.045662100457,17621.81518671385,0.7221682497482225,0.44575567098409885,0.9,0.07603187264388978,0.05159324445771378,0.003275,0.024438628186176006,944.5
bgd.oil,BGD,oil,2018,1868,16293,6540,1859.9315068493152,2478.3579859043425,0.2036613062572438,0.5374304077529596,0,NA,NA,NA,NA,NA
bgd.nuc,BGD,nuc,2018,-0,0,0,0,-0,0.9,0.33,0,0.17679620487006686,0.00405,0.00405,0.17274620487006684,7251.25
bgd.wnd,BGD,wnd,2018,1,6,3,0.684931506849315,1.326744103803181,0.18398021308980214,0.41601137528121646,0,0.06889577404391473,0.0030185185185185185,0.0030185185185185185,0.06587725552539621,1664.8148148148148
bgd.sol,BGD,sol,2018,25,291,201,33.21917808219178,33.16860259507953,0.11357936345668915,0.688285012591432,0,0.07744859670739546,0,0,0.07744859670739546,965
