CountryCode,FuelType,Year,Capacity.MW,Production.MWy,EffectiveCapacity.MW,CapacityFactor,ThermalEfficiency,LCOE.TotalCalc.USD_kWh,LCOE.USD_kWh,VarOpex.USD_kWh,LCOE.Var.USD_kWh,LCOE.Fixed.USD_kWh,TotalThisYearDemand.MWy,FuelCostPerkWh,TotalNonCoalAndGasGeneration,RequiredCoalAndGas,MaximumGen,SumMaximumGen,OtherMaximumGen,MinimumGen,RemainderAfterMinimas,MinVarCost,RelVarCost,LogitExp,SumLogitExp,ProportionOfCoalGasGeneration,SumProportionOfCoalGasGeneration,GenerationShare,EffectiveEndOfYearRetirements,TotalEffectiveCapacity,TotalRetirements,TotalPredictedNextYearDemand.MWy,CostOfCheapestOption,RelativeCost,LogitNominator,SumLogitNominator,ProportionOfInvestment,CheckSum,NamePlateEndOfYearRetirements,TotalNewEffectiveInvestmentsNeeded,NewEffectiveInvestments,NewNameplateInvestments,NextYearEffectiveCapacity.MW,NextYearCapacity.MW,ThisYearGenerationCost,Price
BGD,coa,2018,524,171.2328767,171.232876676,0.326780299,0.328403242,0.09375391445106182,0.094309193,0.00404375,0.05113192745106182,0.042621987,8974.086757987001,0.04708817745106182,2017.808219287,6956.278538700001,471.6,10260.900000000001,9789.300000000001,0,471.60000000000036,0.05113192745106182,1,0.36787944117144233,0.6300626798733189,0.5838775298441873,1,0.019080813604526556,6.84931506704,8974.086755056,358.96347020224,8974.086757987001,0.067947992,1.379789331391306,0.2516315583465858,1.930124182413959,0.13037065730759168,1,20.96,358.96347020224,46.79830355968013,143.21029665157425,211.18186516864012,646.2502966515742,0,4.295530593
BGD,nga,2018,10877,6785.045662,6785.045657671,0.623797523,0.385036705,0.09269844821497235,0.074743479,0.003238095,0.06845090621497235,0.024247542,8974.086757987001,0.06521281121497235,2017.808219287,6956.278538700001,9789.300000000001,10260.900000000001,471.60000000000036,6484.678538700001,471.60000000000036,0.05113192745106182,1.3387116353180009,0.26218323870187654,0.6300626798733189,0.4161224701558128,1,0.7560708788514064,271.40182630684,8974.086755056,358.96347020224,8974.086757987001,0.067947992,1.3642558887534506,0.2555707783411096,1.930124182413959,0.13241157261781647,1,435.08,358.96347020224,47.5309176018273,76.19606659102956,6561.174748965987,10518.11606659103,0,6.974812765
BGD,oil,2018,6540,1859.931507,1859.93150838,0.284393197,0.750469269,0.12257172206809513,0.188070568,0.005,0.05495464206809513,0.06761708,8974.086757987001,0.049954642068095134,2017.808219287,6956.278538700001,0,0,0,0,0,0,0,0,0,0,0,0.207255797404081,74.3972603352,8974.086755056,358.96347020224,8974.086757987001,0.067947992,1.8039049935146743,0.1646546558154391,1.930124182413959,0.08530780418983692,1,261.6,358.96347020224,30.622385427317052,107.67622344818977,1816.1566334721172,6386.076223448189,0,10.41372881
BGD,nuc,2018,0,0,0,0.902222222,0.33,0.17400769100000002,0.174007691,0.003933333,0.003933333,0.170074358,8974.086757987001,0,2017.808219287,6956.278538700001,0,0,0,0,0,0,0,0,0,0,0,0,0,8974.086755056,358.96347020224,8974.086757987001,0.067947992,2.560895265308208,0.07723556316165148,1.930124182413959,0.04001585175988773,1,0,358.96347020224,14.36422901082771,15.920943488828975,14.36422901082771,15.920943488828975,0,0
BGD,wnd,2018,3,0.684931507,0.684931506,0.228310502,0.516249897,0.067947992,0.067947992,0.002910714,0.002910714,0.065037278,8974.086757987001,0,2017.808219287,6956.278538700001,0,0,0,0,0,0,0,0,0,0,0,7.632325444039263e-5,0.02739726024,8974.086755056,358.96347020224,8974.086757987001,0.067947992,1,0.36787944117144233,1.930124182413959,0.19059884567185958,1,0.12,358.96347020224,68.41802305891191,299.6709413696262,69.07555730467192,302.5509413696262,0,0
BGD,sol,2018,201,33.21917808,33.219178143,0.165269543,1,0.077021936,0.077021936,0,0,0.077021936,8974.086757987001,0,2017.808219287,6956.278538700001,0,0,0,0,0,0,0,0,0,0,0,0.0037016778393004386,1.32876712572,8974.086755056,358.96347020224,8974.086757987001,0.067947992,1.1335424893792299,0.3218909390604002,1.930124182413959,0.16677213932308704,1,8.040000000000001,358.96347020224,59.86510586446677,362.2270914397505,91.75551688174677,555.1870914397505,0,0
BGD,hyd,2018,230,123.9726027,123.97260268,0.539011316,1,0.07995943500000001,0.079959769,9.33e-4,9.33e-4,0.079026435,8974.086757987001,0,2017.808219287,6956.278538700001,0,0,0,0,0,0,0,0,0,0,0,0.013814509046245123,4.9589041071999995,8974.086755056,358.96347020224,8974.086757987001,0.067947992,1.1767740686141248,0.3082715993174421,1.930124182413959,0.15971594062507125,1,9.2,358.96347020224,57.332188293390494,106.36546319445081,176.34588686619048,327.1654631944508,0,0
BGD,ore,2018,0,0,0,0.400171531,1,0.149953131,0.149953131,0.002562698,0.002562698,0.147390433,8974.086757987001,0,2017.808219287,6956.278538700001,0,0,0,0,0,0,0,0,0,0,0,0,0,8974.086755056,358.96347020224,8974.086757987001,0.067947992,2.206880977439333,0.11004334146885919,1.930124182413959,0.057013606933430924,1,0,358.96347020224,20.465802193570855,51.14257414171438,20.465802193570855,51.14257414171438,0,0
BGD,bio,2018,0,0,0,0.771818182,0.35,0.17788999336571426,0.167742993,0.007963636,0.11586958836571427,0.062020405,8974.086757987001,0.10790595236571428,2017.808219287,6956.278538700001,0,0,0,0,0,0,0,0,0,0,0,0,0,8974.086755056,358.96347020224,8974.086757987001,0.067947992,2.618031646405596,0.0729463057310292,1.930124182413959,0.0377935815714184,1,0,358.96347020224,13.566515192247774,17.57734594576806,13.566515192247774,17.57734594576806,0,10.49085648
BRA,coa,2018,4652,2658.105023,2658.1050239600004,0.57138973,0.413600291,0.08405427484994071,0.094309193,0.00404375,0.04143228784994072,0.042621987,68598.6301349,0.03738853784994072,59705.1369839,8893.493150999995,4186.8,16015.5,11828.7,0,4186.799999999999,0.04143228784994072,1,0.36787944117144233,0.6029485730839761,0.6101340273347088,1,0.038748660399964344,106.32420095840001,68598.630108376,2743.94520433504,68598.6301349,0.04340581,1.9364752057372205,0.14421137038668705,1.1105004407836694,0.1298616057143737,1.0000000000000002,186.08,2743.94520433504,356.3331302272035,623.6253672728831,2908.113953228804,5089.545367272884,0,4.295530593
